iso3c,country,income,hale_0,ghe_0,gdppc_0,year_0,hale_T,ghe_T,gdppc_T,year_T,d_hale,d_ghe,span
AZE,Azerbaijan,Upper middle income,59.6090067681115,0.86689276,6.48478369725538,2000,63.1724859135272,1.20668018,8.95810191705926,2022,3.56,0.34,22
SVN,Slovenia,High income,65.4970209784053,5.57140017,9.22382128584335,2000,68.9831541284785,7.05512381,10.2532228103895,2022,3.49,1.48,22
MAR,Morocco,Lower middle income,59.1327040269989,0.93646741,7.31262515789321,2000,62.5828014455474,2.3239212,8.14769241565604,2022,3.45,1.39,22
IRQ,Iraq,Upper middle income,56.5827531313863,1.35636795,6.70672523979664,2003,60.0247516482634,2.18493223,8.78274184887302,2022,3.44,0.83,19
HUN,Hungary,High income,61.9965907769094,4.66643333,8.44029435170067,2000,65.3862649382664,4.83920336,9.82464111624102,2022,3.39,0.17,22
ECU,Ecuador,Upper middle income,62.2510383512534,1.00422108,7.23145646724661,2000,65.6025530974349,4.59872866,8.78195232192963,2022,3.35,3.59,22
ROU,Romania,High income,61.9398497486228,3.33585477,7.4145301389343,2000,65.2522985091697,4.46498919,9.65232271037256,2022,3.31,1.13,22
ARM,Armenia,Upper middle income,63.1345813624974,0.95468217,6.3859539447738,2000,66.4204751319466,1.71535861,8.79056959227362,2022,3.29,0.76,22
IRL,Ireland,High income,66.9148374421216,4.57260036,10.1786376975713,2000,70.0803827480128,4.73404694,11.5639465822131,2022,3.17,0.16,22
LUX,Luxembourg,High income,67.8232960124831,4.93300676,10.7926043728864,2000,70.9963891369286,4.83443642,11.7257734698925,2022,3.17,-0.1,22
GTM,Guatemala,Upper middle income,57.403359134046,1.91270578,7.40790357626531,2000,60.5214286412225,2.42621732,8.58647692525484,2022,3.12,0.51,22
KWT,Kuwait,High income,65.0434477551124,1.59861708,9.86767109117025,2000,68.1433422152832,3.72393417,10.5961788566551,2022,3.1,2.13,22
PRT,Portugal,High income,66.4243204188455,5.99815702,9.35239291212776,2000,69.521498202747,6.53053427,10.111335502557,2022,3.1,0.53,22
UZB,Uzbekistan,Lower middle income,59.6617335970085,2.00684047,6.31923696246678,2000,62.7582820974359,2.50392389,7.85502783660185,2022,3.1,0.5,22
IDN,Indonesia,Upper middle income,60.1374448200592,0.549743,6.63818960896242,2000,63.1539832418196,1.3944068,8.46185696662215,2022,3.02,0.84,22
TKM,Turkmenistan,Upper middle income,58.2340722757509,1.88017917,6.45178943754483,2000,61.2529247021651,0.79879308,9.00655230382614,2022,3.02,-1.08,22
KIR,Kiribati,Lower middle income,57.7485881232694,7.51573658,6.73977113676911,2000,60.7151877465655,8.48891449,7.63519141670094,2022,2.97,0.97,22
LTU,Lithuania,High income,61.8612372548535,4.16960144,8.1018705619815,2000,64.7943508818604,4.73151922,10.1300565926985,2022,2.93,0.56,22
DNK,Denmark,High income,66.6983671059995,6.73534012,10.3327351090391,2000,69.6158721121763,7.95537901,11.1286050113818,2022,2.92,1.22,22
NLD,Netherlands,High income,65.9809497910251,5.31053734,10.1744749069677,2000,68.857842132551,6.92254639,10.9873806865989,2022,2.88,1.61,22
TJK,Tajikistan,Lower middle income,59.2147722740434,0.88544548,4.91943856272273,2000,62.0873556442408,1.78677893,6.95861900122328,2022,2.87,0.9,22
GMB,"Gambia, The",Low income,54.1584941832797,0.6015296,6.28795906133601,2000,57.0141131219519,1.52435625,6.72892148357031,2022,2.86,0.92,22
BOL,Bolivia,Lower middle income,57.7497955560567,2.43201661,6.88323413855729,2000,60.5946107202129,5.88703108,8.20081757373112,2022,2.84,3.46,22
VNM,Viet Nam,Lower middle income,63.6514222385117,1.68673158,6.00148859815246,2000,66.4117795916411,2.00186634,8.33030870558986,2022,2.76,0.32,22
SRB,Serbia,Upper middle income,62.6602590248401,4.04799891,6.88215586137893,2000,65.4026467295583,5.95365191,9.21263462360112,2022,2.74,1.91,22
OMN,Oman,High income,62.8085408694078,2.19491506,9.1854171068526,2000,65.5143052346052,2.46074057,10.052923547422,2022,2.71,0.27,22
CZE,Czechia,High income,64.7494374469121,5.05704689,8.70994706329095,2000,67.4310267280342,7.45911407,10.2499887474563,2022,2.68,2.4,22
SVK,Slovak Republic,High income,63.6022223880934,4.63913631,8.59815452518151,2000,66.2806982595864,6.17515564,9.96808549850132,2022,2.68,1.54,22
DZA,Algeria,Upper middle income,62.2883399569892,2.31351972,7.48038808599162,2000,64.9540733974146,1.71722472,8.50947399022394,2022,2.67,-0.6,22
PSE,West Bank and Gaza,Lower middle income,62.392421154357,2.72239161,7.29720742792393,2000,65.0534710948287,3.9269774,8.24274457463247,2022,2.66,1.2,22
ISR,Israel,High income,68.8684887602606,4.17564917,9.98536792784677,2000,71.5032048447633,4.87933254,10.9141720727549,2022,2.63,0.7,22
MRT,Mauritania,Lower middle income,55.379494221668,0.46969447,6.5234316983252,2000,58.0029589910434,1.75979567,7.58087953237653,2022,2.62,1.29,22
ALB,Albania,Upper middle income,65.0381206784044,2.76583052,7.05653769302614,2000,67.6295388872477,2.79900384,8.83148214461155,2022,2.59,0.03,22
GEO,Georgia,Upper middle income,60.6498582724711,0.82085949,6.61995124575206,2000,63.2183877924651,3.06025243,8.81430762881329,2022,2.57,2.24,22
POL,Poland,High income,63.8663842742714,3.6070292,8.41640907792436,2000,66.4392621564144,4.6841383,9.8464522003271,2022,2.57,1.08,22
BRN,Brunei Darussalam,High income,65.0053672113371,2.14453936,9.90997929298385,2000,67.4709002010433,1.67847669,10.5087027882086,2022,2.47,-0.47,22
NOR,Norway,High income,67.9295315423885,6.29176235,10.550020917002,2000,70.3573202879996,6.80973244,11.6015727750773,2022,2.43,0.52,22
BRA,Brazil,Upper middle income,61.5257589482645,3.47014546,8.23391424155302,2000,63.9241210758273,4.10490513,9.13576049481413,2022,2.4,0.63,22
FIN,Finland,High income,67.1452883912645,5.37109375,10.0997088302511,2000,69.4208152671646,7.89401913,10.8285508967772,2022,2.28,2.52,22
HND,Honduras,Lower middle income,61.7357864877785,3.02285886,6.99628251331991,2000,64.0117531449874,3.3738544,8.00746362285023,2022,2.28,0.35,22
MLT,Malta,High income,68.5170754404832,4.7191391,9.2445955093754,2000,70.7823126633753,6.38188028,10.4974849463046,2022,2.27,1.66,22
PNG,Papua New Guinea,Lower middle income,55.5892390912373,1.70150447,6.45513239613182,2000,57.8094319599537,1.53210604,8.03989572620426,2022,2.22,-0.17,22
TUN,Tunisia,Lower middle income,61.6591177938407,2.53482223,7.69577829929039,2000,63.8814633522859,3.94321561,8.21847662871472,2022,2.22,1.41,22
CHE,Switzerland,High income,68.8423649824146,2.60934997,10.5678499461743,2000,70.99115137956,4.09193945,11.4552382008703,2022,2.15,1.48,22
SYR,Syrian Arab Republic,Low income,61.2377938909621,1.61808777,7.03719322964254,2000,63.3808989839051,1.40585876,6.95813607825352,2022,2.14,-0.21,22
UKR,Ukraine,Upper middle income,58.9929895139897,2.51132536,6.48202773451267,2000,61.1318524411744,4.27551651,8.47134730676291,2021,2.14,1.76,21
SYC,Seychelles,High income,63.5947306615523,3.78593802,8.99512220737113,2000,65.652893298118,3.13010931,9.73131465482039,2022,2.06,-0.66,22
BEL,Belgium,High income,67.2845224121868,5.96185923,10.0475396922199,2000,69.3331463368611,8.09132671,10.8360895662792,2022,2.05,2.13,22
BGR,Bulgaria,High income,62.405796523957,3.4715004,7.39096020353795,2000,64.4227538283087,4.79345798,9.54678917401773,2022,2.02,1.32,22
AUT,Austria,High income,67.6281506044654,6.82578707,10.1059097914109,2000,69.6343672835557,8.64332867,10.8623906416254,2022,2.01,1.82,22
VCT,St. Vincent and the Grenadines,Upper middle income,61.7307226254621,2.78107834,8.23455315080917,2000,63.745382232813,3.23636723,9.17921689012972,2022,2.01,0.46,22
FSM,"Micronesia, Fed. Sts.",Lower middle income,55.9014260414425,1.77096093,7.6410679250032,2000,57.8997647745039,1.12128794,8.21882070882093,2022,2,-0.65,22
JPN,Japan,High income,70.5107982327973,5.65793514,10.5756500765173,2000,72.4593099578836,9.82434177,10.436044645018,2022,1.95,4.17,22
