"model","term","estimate","std_error","statistic","p_value","ci_lower","ci_upper","n_obs","r2"
"R6_no_small","ghe_share_gdp",-0.328491148742188,0.112061569582097,-2.93134524143474,0.00389664433770591,-0.548131825123098,-0.108850472361278,3444,0.967485462185193
"R6_no_small","log_gdppc",0.713245032653168,0.288069445419325,2.4759482270497,0.0143851372212346,0.148628919631291,1.27786114567505,3444,0.967485462185193
"R6_no_small","urbanization",0.0579036163280576,0.0531184775058477,1.09008426157702,0.277401135753196,-0.0462085995834039,0.162015832239519,3444,0.967485462185193
"R6_no_small","fertility_rate",-1.34083675906434,0.360903370576538,-3.71522370911186,0.000284673952828467,-2.04820736539435,-0.633466152734322,3444,0.967485462185193
"R7_governance","ghe_share_gdp",-0.160994734343906,0.065957214570058,-2.44089650227576,0.0155822583245853,-0.29027087490122,-0.0317185937865926,4098,0.969379654768126
"R7_governance","log_gdppc",0.38756863271252,0.206110934834624,1.8803885054594,0.0616098612259287,-0.016408799563344,0.791546064988384,4098,0.969379654768126
"R7_governance","urbanization",0.0830958511496897,0.0390318669915869,2.12892330176265,0.0345692228038754,0.00659339184617935,0.1595983104532,4098,0.969379654768126
"R7_governance","fertility_rate",-1.11048266587649,0.303675724074021,-3.65680420870854,0.000331855619866615,-1.70568708506158,-0.515278246691413,4098,0.969379654768126
"R7_governance","governance_composite",1.42350184091441,0.359851988263038,3.95579818187329,0.000108189952583862,0.718191943918859,2.12881173790997,4098,0.969379654768126
"R8a_period_2000_2011","ghe_share_gdp",-0.0137500715252433,0.056522480574605,-0.243267305069783,0.808064976903255,-0.124534133451469,0.0970339904009825,2238,0.980743385974843
"R8a_period_2000_2011","log_gdppc",0.599428756620364,0.213434133041503,2.80849528647698,0.00550597839251289,0.181097855859017,1.01775965738171,2238,0.980743385974843
"R8a_period_2000_2011","urbanization",0.093607314966342,0.0501588536720247,1.86621719025748,0.0635767344266326,-0.00470403823082645,0.19191866816351,2238,0.980743385974843
"R8a_period_2000_2011","fertility_rate",-1.26831275914219,0.409712733369703,-3.09561469742686,0.00226601372604628,-2.0713497165468,-0.465275801737568,2238,0.980743385974843
"R8b_period_2012_2022","ghe_share_gdp",-0.0958150606676803,0.0409334677041343,-2.34075112717614,0.0202990043288704,-0.176044657367783,-0.0155854639675772,2065,0.988659616958972
"R8b_period_2012_2022","log_gdppc",0.398473856968683,0.200419134658122,1.98820266162912,0.0482481215038222,0.00565235303876327,0.791295360898602,2065,0.988659616958972
"R8b_period_2012_2022","urbanization",0.08705548531088,0.0372099238661878,2.3395770876593,0.0203610449693668,0.014124034533152,0.159986936088608,2065,0.988659616958972
"R8b_period_2012_2022","fertility_rate",-0.503265588887327,0.226583821429131,-2.22110116120862,0.0275443009178745,-0.947369878888423,-0.0591612988862316,2065,0.988659616958972
"R9_region_slopes","log_gdppc",0.88105661367469,0.225593330892805,3.90550824436092,0.000131017572872924,0.438893685124793,1.32321954222459,4304,0.969783074464938
"R9_region_slopes","urbanization",0.0683610816819589,0.0368778110568793,1.8537185294572,0.0653462055881095,-0.00391942798952448,0.140641591353442,4304,0.969783074464938
"R9_region_slopes","fertility_rate",-1.19762906659382,0.317856357588314,-3.76783109100175,0.000220247405697411,-1.82062752746691,-0.574630605720723,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionEast Asia & Pacific",-0.0315986292855159,0.0731282582851739,-0.432098753976782,0.666164824880485,-0.174930015524457,0.111732756953425,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionEurope & Central Asia",-0.0508012583916986,0.085122249726704,-0.596803521462399,0.551356579994191,-0.217640867856038,0.116038351072641,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionLatin America & Caribbean",-0.924827113807533,0.198155258687295,-4.66718430756857,5.79068942579609e-06,-1.31321142083463,-0.536442806780435,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionMiddle East & North Africa",-0.0815396976445737,0.160201640254047,-0.508981665326701,0.611361911586574,-0.395534912542505,0.232455517253358,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionNorth America",-0.7808563213871,0.150191486445542,-5.19907179739,5.19759958291562e-07,-1.07523163482036,-0.486481007953837,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionSouth Asia",-0.102714046709592,0.0542759139553226,-1.89244250763131,0.0599688360042595,-0.209094838062024,0.00366674464284043,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionSub-Saharan Africa",0.6371495902077,0.312126909270167,2.04131579586496,0.0426168837009075,0.0253808480381739,1.24891833237723,4304,0.969783074464938
